Numero_ID,Document_index,Title,Author_Contact_Contractor,Organisation,Organisation_type,Finance_type,Executor_type,Publication_date,Activity_initiation_year,Compensation,Project_phase,Monitoring,Monitoring_years,Target_land_cover,Restoration_type,Restoration_action,Restoration_action_1,Restoration_action_2,Restoration_action_3,Restoration_action_4,Restoration_action_5,Disturbance,Disturbance_1,Disturbance_2,Disturbance_3,Disturbance_4,Type_of_land_being_restored,Main_aim_of_restoration,Land_area_ha,Location_coordinate_system,Department,Code_DANE_Dep,Municipality,Code_DANE_Mun,Dept_Mun,Dept,Mun,Location,Biogeographic_region,Potential_ecosystem,Reference,Source,Remarks,Costs,Notes,Notes_2,Lat_dec_FINAL,Lon_dec_FINAL
RE00008,a,"Regeneración natural del nogal (Cordia alliodora R. & P.) para la restauración en fragmentos del bosque seco tropical en el norte del departamento del Tolima, Colombia",Omar Melo,Camara de comercio de Bogotá,Company,National,Private,NI,2015,No,Diagnosis,NI,NI,Mosaic of crops with natural spaces,Natural regeneration,NI,NI,NA,NA,NA,NA,NI,Agricultural and livestock use,NA,NA,NA,NI,NI,NI,NI,TOLIMA,73,NO CHECKED,#N/A,NA,NA,NA,NI,Norandina,Tropical dry forest,NA,NA,"Hay poca información sobre este proyecto, revisando en otro documento se encontro esta referencia o tesis que puede ser la referencia de este trabajo. Sin embargo no se encontro una versión digital o descargable del trabajo. GUERRA, P y PAZ, M. Evaluación de la dinámica de la regeneración natural del Nogal (Cordia alliodora R&P), bajo tratamientos silviculturales, en fragmentos de bosque seco tropical, en el departamento del Tolima. Ibagué, 2004. 76 h. Tesis de grado. (Ingeniero Forestal). Universidad del Tolima. Facultad de ingeniería forestal.",-,NA,NA,NA,NA
RE00009,a,"Plan Decenal para el Manejo del Bosque Seco Tropical (Bs-T) del 
Campus de la Universidad del Magdalena",Wllinton Barranco,Universidad del Magdalena,University,National,Public,2015,2007,No,Implementation,NI,NI,Urban green areas,Natural regeneration,NI,NI,NA,NA,NA,NA,"Urban sprawl, invasive species",NI,NA,NA,NA,Urban areas,Recovery and conservation of natural resources,2,NI,ATLANTICO,8,SANTA MARTA,47001,MAGDALENA_SANTA MARTA,MAGDALENA,SANTA MARTA,Campus de la Universidad del Magdalena,Choco-Magdalena,Tropical dry forest,https://www.unimagdalena.edu.co/Content/Public/Docs/Entrada_Facultad3/adjunto_1028-20180928170915_764.pdf,NA,"Se encontro el informe del plan de accion de conservacion de este relicto de bosque, en el que se da cuenta que se destino un área para regeneracion natural pero no se encontro soporte de monitoreo hasta la fecha de hoy. Es posible que el área simplemente siga en regenreación natural.",-,"2ha of forest on the university campus in Magdalena Dept, not Atlantico",NA,11.22175,-74.18577
RE00010,a,Recuperación paisajística del camino peatonal a Monserrate (0+350 m),Claudia Alexandra Pinzón,JBB,Botanic garden,National government,Public,NI,NI,No,Implementation,NI,NI,Urban green areas,NI,NI,NI,NA,NA,NA,NA,"Urban sprawl, invasive species",Urban sprawl,invasive species,NA,NA,NI,Ecological connectivity,1,NI,CUNDINAMARCA,25,"BOGOTÃ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Cerro de monserrate,Norandina,High Andean forest,NA,NA,NA,-,NA,NA,4.6081,-74.0592
RE00011,a,Restauración del Parque Presa Seca Cantarrana,Claudia Alexandra Pinzón,JBB,Botanic garden,National government,Public,2015,2012,No,Implementation,Yes,1-3year,"Mosaic of crops, pastures and natural areas",Natural regeneration and assisted restoration,Revegetation nuclei,Revegetation nuclei,NA,NA,NA,NA,Invasive species,Urban sprawl,invasive species,NA,NA,Forestry,Recovery and conservation of natural resources,8.59,NI,CUNDINAMARCA,25,"BOGOTÃ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Presa seca cantarrana,Norandina,Sub-Andean forest,http://conexionbio.jbb.gov.co/nodo-cantarrana/,NA,"Tambien se reintrodujeron y plantaron especies forestales en los años 2014, 2015 y 2017. Se adjunta el link de una pagina que da cuenta del proceso y una tesis de entomofauna en areas de restauración de este parque que ayudo a complementar la información. Hace parte del proyecto nodos de biodiversidad del JBB que abarca varios nodos en bogotá en donde se han realizando procesos de restauración. Las principales causas de degradación del lugar: procesos de extracción de material previos al establecimiento del parque, construcción de la presa y el establecimiento de plantaciones de Acacia (Acacia decurrens) y algunos árboles de Eucalipto (Eucalyptus globulus) con el fin de mitigar el efecto de la erosión.",-,NA,NA,4.50356,-74.1234
RE00012,a,"Restauración ecológica de suelos degradados por erosión en cárcavas 
en el enclave xerofítico de Dagua, Valle del Cauca, Colombia",Enrique Murgueitio,CIPAV,NGO,National government,Private,2004,2003,No,Implementation,Yes,1-3year,Mosaic of pastures and crops,Assisted restoration,"Bioengineering, tree planting, perimeter isolation",Bioengineering,tree planting,perimeter isolation,NA,NA,Agricultural and livestock use,Invasive species,NA,NA,NA,NI,Soil erosion prevention,100,NI,VALLE DEL CAUCA,76,DAGUA,76233,VALLE DEL CAUCA_DAGUA,VALLE DEL CAUCA,DAGUA,"Barrio la Gran Colombia, carcava el chicharronal",Norandina,Tropical dry forest,https://cipav.org.co/wp-content/uploads/2019/06/RESTAURACION-CARCAVA-Dagua.pdf,NA,El nombre de la persona que aparece en el documento como el encargado es diferente a la persona que aparece como autor en la publicación. Es posible que tengamos que cambiar estos nombres,-,NA,NA,3.682,-76.6956
RE00013,a,Propuesta de restauración pasiva mediante aislamientos de bosque y protección de cuerpos de agua en ecosistemas del PNN Catatumbo Bari,Johana Puentes,PNN,National Natural Park,National and International,Public,NI,NI,No,Planing,NI,NI,"Mosaic of crops, pastures and natural areas",Natural regeneration and assisted restoration,NI,NI,NA,NA,NA,NA,Agricultural and livestock use,Agricultural and livestock use,NA,NA,NA,NI,NI,NI,NI,NORTE DE SANTANDER,54,TIBU,54810,NORTE DE SANTANDER_TIBU,NORTE DE SANTANDER,TIBU,NI,Norandina,Tropical rain forest,https://www.parquesnacionales.gov.co/portal/wp-content/uploads/2018/06/PLAN-DE-MANEJO-CATATUMBO-version-julio2017-3.pdf,NA,Ha contado con financiación de USAID. Lo unico que se encuentra de este titulo es el plan de manejo del parque que lo que contiene es una propuesta de varias areas potenciales con uso de restauraciòn.,-,NA,NA,NA,NA
RE00013,a,Propuesta de restauración pasiva mediante aislamientos de bosque y protección de cuerpos de agua en ecosistemas del PNN Catatumbo Bari,Johana Puentes,PNN,National Natural Park,National and International,Public,NI,NI,No,Planing,NI,NI,"Mosaic of crops, pastures and natural areas",Natural regeneration and assisted restoration,NI,NI,NA,NA,NA,NA,Agricultural and livestock use,Agricultural and livestock use,NA,NA,NA,NI,NI,NI,NI,NORTE DE SANTANDER,54,EL CARMEN,54245,NORTE DE SANTANDER_EL CARMEN,NORTE DE SANTANDER,EL CARMEN,NI,Norandina,Tropical rain forest,https://www.parquesnacionales.gov.co/portal/wp-content/uploads/2018/06/PLAN-DE-MANEJO-CATATUMBO-version-julio2017-3.pdf,NA,Ha contado con financiación de USAID. Lo unico que se encuentra de este titulo es el plan de manejo del parque que lo que contiene es una propuesta de varias areas potenciales con uso de restauraciòn.,-,NA,NA,NA,NA
RE00013,a,Propuesta de restauración pasiva mediante aislamientos de bosque y protección de cuerpos de agua en ecosistemas del PNN Catatumbo Bari,Johana Puentes,PNN,National Natural Park,National and International,Public,NI,NI,No,Planing,NI,NI,"Mosaic of crops, pastures and natural areas",Natural regeneration and assisted restoration,NI,NI,NA,NA,NA,NA,Agricultural and livestock use,Agricultural and livestock use,NA,NA,NA,NI,NI,NI,NI,NORTE DE SANTANDER,54,TEORAMA,54799,NORTE DE SANTANDER_TEORAMA,NORTE DE SANTANDER,TEORAMA,NI,Norandina,Tropical rain forest,https://www.parquesnacionales.gov.co/portal/wp-content/uploads/2018/06/PLAN-DE-MANEJO-CATATUMBO-version-julio2017-3.pdf,NA,Ha contado con financiación de USAID. Lo unico que se encuentra de este titulo es el plan de manejo del parque que lo que contiene es una propuesta de varias areas potenciales con uso de restauraciòn.,-,NA,NA,NA,NA
RE00013,b,Acciones de restauración implementadas en el Parque Nacional Natural Catatumbo Bari,Oscar Hernando Sanchez Roa,PNN,National Natural Park,National government,Public,NI,2009,No,Implementation,NI,NI,Mosaic of pastures and natural spaces,Natural regeneration and assisted restoration,Perimeter isolation and conservation areas,Perimeter isolation,conservation areas,NA,NA,NA,Agricultural and livestock use,Agricultural and livestock use,NA,NA,NA,Forestry protection-production,Recovery and conservation of natural resources,50,NI,NORTE DE SANTANDER,54,"Tibu, el carmen, teorama","54810, 54245, 54800",NA,NA,NA,NI,Norandina,Tropical rain forest,https://es.slideshare.net/oscagro/articulo-cientifico-rep,NA,"El documento no se pudo descargar. Pero esta disponible en linea aunque no da coordenadas es muy importante porque describe las acciones de restauración implementadas. Contemplar la posibilidad de contactar al autor, ya que su correo esta en la presentación. Este titulo y autor no aparecia en el listado de CIFOR.",-,Second document about same project,NA,NA,NA
RE00015,a,Estrategias de conservación de los ecosistemas de Catival ubicados en la regional centro de la jurisdicción de Corpourabá,Ana Lucía Vélez,Corpouraba,Environmental authorities,National,Public,2012,NI,No,Planing,NI,NI,NI,Assisted restoration,Forest Plantation,Forest Plantation,NA,NA,NA,NA,NI,Agricultural and livestock use,NA,NA,NA,NI,NI,94,NI,CHOCO,27,NO CHECKED,#N/A,CHOCO_UNGUIA,CHOCO,UNGUIA,Humedales de los ríos león y atrato,Choco-Magdalena,Wetland,http://corpouraba.gov.co/sites/default/files/R-PG-01PGARAPROBADO.pdf,NA,"Muy poca información sobre este registro, se adjunta un documento que da cuenta de que las estrategias de este proyecto estuvieron enmarcadas dentro de un plan de gestion ambiental de CORPOURABA. Sin embargo, e sun documento que da cuenta de la planeación de un programa de restauración, mas no de una implementación",-,NA,NA,8.2811,-77.2353
