Numero_ID,Document_index,Title,Author_Contact_Contractor,Organisation,Organisation_type,Finance_type,Executor_type,Publication_date,Activity_initiation_year,Compensation,Project_phase,Monitoring,Monitoring_years,Target_land_cover,Restoration_type,Restoration_action,Restoration_action_1,Restoration_action_2,Restoration_action_3,Restoration_action_4,Restoration_action_5,Disturbance,Disturbance_1,Disturbance_2,Disturbance_3,Disturbance_4,Type_of_land_being_restored,Main_aim_of_restoration,Land_area_ha,Location_coordinate_system,Department,Code_DANE_Dep,Municipality,Code_DANE_Mun,Dept_Mun,Dept,Mun,Location,Biogeographic_region,Potential_ecosystem,Reference,Source,Remarks,Costs,Notes,Notes_2,Lat_dec_FINAL,Lon_dec_FINAL
RE00086,a,Estrategias para la restauración ecologica del Parque Nacional Natural Chingaza - Sector de El Ángulo,Orlando Vargas,GREUNAL,University,National,Public,2011,2007,No,Implementation,Yes,1-3year,NI,Natural regeneration and assisted restoration,Revegetation nuclei,Revegetation nuclei,NA,NA,NA,NA,"Agricultural and livestock use, fires, Invasive species, urban sprawl",Agricultural and livestock use,fires,Invasive species,urban sprawl,NI,Recovery and conservation of natural resources,NI,NI,CUNDINAMARCA,25,GUASCA,25322,CUNDINAMARCA_GUASCA,CUNDINAMARCA,GUASCA,PNN Chingaza - Sector de El Ángulo,Norandina,Paramo,https://www.researchgate.net/profile/Orlando-Vargas-4/publication/348608055_ESTRATEGIAS_PARA_LA_RESTAURACION_ECOLOGICA_DE_LOS_PARAMOS_ANDINOS/links/60076c82a6fdccdcb868949b/ESTRATEGIAS-PARA-LA-RESTAURACION-ECOLOGICA-DE-LOS-PARAMOS-ANDINOS.pdf,NA,"Revisar con el profe orlando: si tiene las coordenadas de cada uno de estos sectores, areas, si se ha vuelto a hacer algun monitoreo",-,Check whether locations in source title can be located,NA,4.5833,-73.7
RE00087,a,Estrategias para la restauración ecologica del Parque Nacional Natural Chingaza - Sector Valle de las lajas,Orlando Vargas,GREUNAL,University,National,Public,2011,2007,No,Implementation,Yes,1-3year,NI,Natural regeneration and assisted restoration,Revegetation nuclei,Revegetation nuclei,NA,NA,NA,NA,"Agricultural and livestock use, fires, Invasive species, urban sprawl",Agricultural and livestock use,fires,Invasive species,urban sprawl,NI,Recovery and conservation of natural resources,NI,NI,CUNDINAMARCA,25,GUASCA,25322,CUNDINAMARCA_GUASCA,CUNDINAMARCA,GUASCA,PNN Chingaza - Sector Valle de las lajas,Norandina,Paramo,https://www.researchgate.net/profile/Orlando-Vargas-4/publication/348608055_ESTRATEGIAS_PARA_LA_RESTAURACION_ECOLOGICA_DE_LOS_PARAMOS_ANDINOS/links/60076c82a6fdccdcb868949b/ESTRATEGIAS-PARA-LA-RESTAURACION-ECOLOGICA-DE-LOS-PARAMOS-ANDINOS.pdf,NA,"Revisar con el profe orlando: si tiene las coordenadas de cada uno de estos sectores, areas, si se ha vuelto a hacer algun monitoreo",-,Check whether locations in source title can be located,NA,4.5833,-73.7
RE00088,a,Plan de Restauración para la restauración ecológica en áreas afectadas por incendios en el complejo de humedales del Otún PNN Nevados,Johanna Puentes,PNN,National Natural Park,National,Public,NI,2009,No,Implementation,Yes,1-5year,NI,Assisted restoration,Revegetation nuclei,Revegetation nuclei,NA,NA,NA,NA,"Agricultural and livestock use, fires, Invasive species, urban sprawl",Agricultural and livestock use,fires,Invasive species,urban sprawl,NI,Recovery and conservation of natural resources,53,NI,CALDAS,17,RISARALDA,17616,CALDAS_RISARALDA,CALDAS,RISARALDA,PNN Los Nevados,Norandina,Paramo,NA,NA,NA,-,NA,NA,4.975326,-75.557043
RE00089,a,Restauración del Predio Santa Lucía,Claudia Alexandra Pinzón,JBB,Botanic garden,National,Public,2011,2011,No,Implementation,NI,NI,NI,Assisted restoration,Revegetation nuclei,Revegetation nuclei,NA,NA,NA,NA,Forest plantations,Agricultural and livestock use,fires,Invasive species,urban sprawl,NI,Water resource protection,8.59,NI,CUNDINAMARCA,25,"BOGOTÃ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Tanque de almacenamiento Santa Lucia,Norandina,Sub-Andean forest,NA,NA,NA,-,NA,NA,4.573742,-74.121106
RE00090,a,"Protección, recuperación, conservación y manejo de cuencas hidrográficas abastecedoras de acueductos y sistemas productivos. Manejo, administración y compra de predios en áreas de producción y recarga de acuíferos y regulación de corrientes hídricas","Sandra 
Yaneth Galván 
Carvajal",CDMB,Environmental authorities,National,Public,NI,NI,No,NI,NI,NI,NI,NI,NI,NI,NA,NA,NA,NA,NI,Forest plantations,NA,NA,NA,NI,NI,NI,NI,SANTANDER,68,BUCARAMANGA,68001,SANTANDER_BUCARAMANGA,SANTANDER,BUCARAMANGA,NI,Norandina,NI,NA,NA,NA,-,NA,NA,NA,NA
RE00091,a,"Restauración ecológica, herramientas de manejo del paisaje, y aportes al ordenamiento del territorio en las cuencas de Bottom House y Fresh Water Bay, Isla de Providencia, Colombia",Gustavo Guerra,Corporación Paisajes rurales,NGO,National,Private,NI,2012,No,Implementation,NI,NI,NI,Natural regeneration and assisted restoration,"Tree planting, perimeter isolation, live fences, revegetation nuclei, invasive species control",Tree planting,perimeter isolation,live fences,revegetation nuclei,invasive species control,NI,NI,NA,NA,NA,NI,Ecological connectivity,NI,NI,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",88,PROVIDENCIA,88564,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA_PROVIDENCIA","ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,Bottom House y Fresh Water Bay,Caribbean Oceanic Insular Territories,Several ecosystems,NA,NA,Preguntrle a Carolina Murcia o a Fabio Lozano en la reunión,-,NA,NA,NA,NA
RE00092,a,Plan de Restauración ecológica del bosque seco. Proyecto hidroeléctrico El Quimbo,Francisco Torres,Fundación Natura,NGO,National,Private,2019,2014,Yes,Implementation,Yes,>5year,NI,Natural regeneration and assisted restoration,"Revegetation nuclei, perimeter insolation, plant enrichment",Revegetation nuclei,perimeter insolation,plant enrichment,NA,NA,Civil works and infrastructure,NI,NA,NA,NA,NI,Recovery and conservation of natural resources,110,NI,Huila,41,"Agrado, Gigante, Tesalia y Paicol","41013,41306,41797 y 41518.",HUILA_AGRADO,HUILA,AGRADO,El Quimbo,Norandina,Tropical dry forest,NA,NA,NA,-,Duplicated rows per municipality,NA,NA,NA
RE00092,a,Plan de Restauración ecológica del bosque seco. Proyecto hidroeléctrico El Quimbo,Francisco Torres,Fundación Natura,NGO,National,Private,2019,2014,Yes,Implementation,Yes,>5year,NI,Natural regeneration and assisted restoration,"Revegetation nuclei, perimeter insolation, plant enrichment",Revegetation nuclei,perimeter insolation,plant enrichment,NA,NA,Civil works and infrastructure,Civil works and infrastructure,NA,NA,NA,NI,Recovery and conservation of natural resources,110,NI,Huila,41,"Agrado, Gigante, Tesalia y Paicol","41013,41306,41797 y 41518.",HUILA_GIGANTE,HUILA,GIGANTE,El Quimbo,Norandina,Tropical dry forest,NA,NA,NA,-,Duplicated rows per municipality,NA,NA,NA
RE00092,a,Plan de Restauración ecológica del bosque seco. Proyecto hidroeléctrico El Quimbo,Francisco Torres,Fundación Natura,NGO,National,Private,2019,2014,Yes,Implementation,Yes,>5year,NI,Natural regeneration and assisted restoration,"Revegetation nuclei, perimeter insolation, plant enrichment",Revegetation nuclei,perimeter insolation,plant enrichment,NA,NA,Civil works and infrastructure,Civil works and infrastructure,NA,NA,NA,NI,Recovery and conservation of natural resources,110,NI,Huila,41,"Agrado, Gigante, Tesalia y Paicol","41013,41306,41797 y 41518.",HUILA_TESALIA,HUILA,TESALIA,El Quimbo,Norandina,Tropical dry forest,NA,NA,NA,-,Duplicated rows per municipality,NA,NA,NA
RE00092,a,Plan de Restauración ecológica del bosque seco. Proyecto hidroeléctrico El Quimbo,Francisco Torres,Fundación Natura,NGO,National,Private,2019,2014,Yes,Implementation,Yes,>5year,NI,Natural regeneration and assisted restoration,"Revegetation nuclei, perimeter insolation, plant enrichment",Revegetation nuclei,perimeter insolation,plant enrichment,NA,NA,Civil works and infrastructure,Civil works and infrastructure,NA,NA,NA,NI,Recovery and conservation of natural resources,110,NI,Huila,41,"Agrado, Gigante, Tesalia y Paicol","41013,41306,41797 y 41518.",HUILA_PAICOL,HUILA,PAICOL,El Quimbo,Norandina,Tropical dry forest,NA,NA,NA,-,Duplicated rows per municipality,NA,NA,NA
RE00093,a,"Proyecto Piloto de Restauración Ecológica Participativa en la microcuenca de La Quebrada Piedra Gorda, Ubicada en las Veredas El Destino y Curubital, Localidad de Usme",Sandra Montoya,SDA,Municipal authority,National,Public,2009,2010,No,Implementation,Yes,1-3year,NI,Natural regeneration and assisted restoration,"Tree planting, perimeter isolation, live fences, revegetation nuclei, invasive species control",Tree planting,perimeter isolation,live fences,revegetation nuclei,invasive species control,Agricultural and livestock use,Civil works and infrastructure,NA,NA,NA,NI,Soil erosion prevention,8,NI,CUNDINAMARCA,25,"BOGOTÁ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Veredas El Destino y Curubital,Norandina,High Andean forest,NA,NA,NA,-,NA,NA,NA,NA
RE00094,a,Recuperación integral de las quebradas de la Localidad de Chapinero - Quebrada las delicias,Patricia Bejarano,CI,NGO,National,Private,2014,2010,No,Implementation,Yes,1-3year,NI,Assisted restoration,"Tree planting, perimeter isolation, live fences, revegetation nuclei, invasive species control",Tree planting,perimeter isolation,live fences,revegetation nuclei,invasive species control,"Invasive species, livestock use, urban sprawl",Agricultural and livestock use,NA,NA,NA,NI,Ecological connectivity,1.5,NI,CUNDINAMARCA,25,"BOGOTÁ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Quebradas las delicias,Norandina,High Andean forest,Proyecto Recuperación Integral de Quebradas de Chapinero by Quebradas Usaquen - Issuu,NA,"Instituciones aliadas SDA, Jardin Botanico de Bogotá, acueducto comunitario ACUALCOS",-,NA,NA,NA,NA
RE00095,a,Recuperación integral de las quebradas de la Localidad de Chapinero - Quebrada Morací,Patricia Bejarano,CI,NGO,National,Private,2014,2011,No,Implementation,NI,NI,NI,Assisted restoration,"Tree planting, perimeter isolation, live fences, revegetation nuclei, invasive species control",Tree planting,perimeter isolation,live fences,revegetation nuclei,invasive species control,"Invasive species, livestock use, urban sprawl",Invasive species,livestock use,urban sprawl,NA,NI,Ecological connectivity,NI,NI,CUNDINAMARCA,25,"BOGOTÁ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Quebradas Morací,Norandina,High Andean forest,Proyecto Recuperación Integral de Quebradas de Chapinero by Quebradas Usaquen - Issuu,NA,"Instituciones aliadas SDA, Jardin Botanico de Bogotá, acueducto comunitario ACUALCOS",-,NA,NA,NA,NA
RE00096,a,Procesos de restauración de bosques en las zonas de recarga de acuíferos en la jurisdicción de Carsucre,Ulises Oviedo Montes,Carsucre,Environmental authorities,National,Public,2013,NI,No,Implementation,NI,NI,NI,Natural regeneration and assisted restoration,"Tree planting, perimeter isolation, live fences, revegetation nuclei, invasive species control",Tree planting,perimeter isolation,live fences,revegetation nuclei,invasive species control,Deforestation,Invasive species,livestock use,urban sprawl,NA,NI,Hydrological restoration,160,NI,SUCRE,70,sincelejo,70001,SUCRE_SINCELEJO,SUCRE,SINCELEJO,NI,Cinturón árido precaribeño,Tropical dry forest,NA,NA,NA,-,NA,NA,9.3817,-75.2336
RE00097,a,"Experiencias en la reconformación física y rehabilitación ecológica de las riberas de humedales de entornos urbanos. Caso Humedal La Vaca, Sector Norte Bogotá, D.C.",Byron Calvachi,EAAB,Company,National,Public,NI,2008,No,Implementation,NI,NI,NI,Assisted restoration,Hydrologic reconformation,Hydrologic reconformation,NA,NA,NA,NA,"Urban sprawl, invasive species",Deforestation,NA,NA,NA,NI,Hydrological restoration,7,NI,CUNDINAMARCA,25,"BOGOTÃ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Humedal La vaca,Norandina,Wetland,https://repository.javeriana.edu.co/bitstream/handle/10554/6094/tesis127.pdf?sequence=1,NA,Se adjunta una tesis del lugar. Pero seria importante encontrar el inform tecnico de la implementacion del acueducto,-,NA,NA,4.6273,-74.1605
RE00098,a,Programa Back-to-eden - Reserva el paraiso Suesca,Gloria Umaña,Reserva el paraiso de suesca,NGO,National,Public,NI,NI,No,Implementation,NI,NI,NI,NI,NI,NI,NA,NA,NA,NA,NI,Urban sprawl,invasive species,NA,NA,NI,NI,1,NI,CUNDINAMARCA,25,SUESCA,25772,CUNDINAMARCA_SUESCA,CUNDINAMARCA,SUESCA,Reserva Natural el Paraiso,Norandina,High Andean forest,NA,NA,NA,-,NA,NA,5.145,-73.7825
RE00099,a,"Diseño metodológico de restauración en la reserva forestal Cárpatos, Guasca, Cundinamarca - Colombia",Edgard Cantillo,Universidad Distrital,University,National,Public,2009,2006,No,Implementation,NI,NI,Grassland,Natural regeneration,Perimeter isolation and conservation areas,Perimeter isolation,conservation areas,NA,NA,NA,"Agricultural and livestock use, fires, Invasive species, urban sprawl",NI,NA,NA,NA,Forestry,Control and elimination of invasive species,185,NI,CUNDINAMARCA,25,GUASCA,25322,CUNDINAMARCA_GUASCA,CUNDINAMARCA,GUASCA,Reserva forestal Cárpatos,Norandina,High Andean forest,http://www.scielo.org.co/pdf/cofo/v12n1/v12n1a08.pdf,NA,NA,-,NA,NA,4.7833,-73.6667
RE00100,a,"Restauración ecológica participativa en la quebrada el Coral Afluente de río Teusacá, vereda el Verjón Bajo, Localidad de Chapinero",Sandra Montoya,Fundación veredal el Verjón,NGO,National,Public,2012,2010,No,Implementation,NI,NI,NI,Assisted restoration,Forest enrichment,Forest enrichment,NA,NA,NA,NA,Agricultural and livestock use,Agricultural and livestock use,fires,Invasive species,urban sprawl,NI,Hydrological restoration,2,NI,CUNDINAMARCA,25,"BOGOTÁ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Vereda el Verjón Bajo,Norandina,High Andean forest,PLAN NACIONAL DE RESTAURACION DE ECOSISTEMAS PNRE (terraconsultores.com),NA,Fundación Vereda el Verjón y SDA,-,NA,NA,NA,NA
RE00101,a,"Iniciativas de restauración ecológica urbana: Disminución de la fragmentación de los ecosistemas de bosque en el sistema de áreas protegidas del municipio de Armenia, Quindío, a través de corredores de conservación urbanos",Olga Lucía Nieto,Fundación Semillas de Vida,NGO,National and International,Private,2010,2008,No,Implementation,NI,NI,NI,Assisted restoration,Forest enrichment,Forest enrichment,NA,NA,NA,NA,Deforestation,Agricultural and livestock use,NA,NA,NA,NI,Ecological connectivity,27,NI,QUINDIO,63,ARMENIA,5059,QUINDIO_ARMENIA,QUINDIO,ARMENIA,"microcuencas Paujil, La Aldana, La Florida y Hojas Anchas",Norandina,NI,Armenia_ES.pdf (uclg-cisdp.org),NA,Financiador: fondo para la accion ambiental y la niñez,-,NA,NA,4.5534,-75.649
RE00102,a,"Revegetalización de 245 hectáreas y aislamiento con 40 000 m.l. de cerca, en los macizos hidrogeográficos de Rabanal y Mamapacha en áreas compartidas entre Corpochivor y Corpoboyacá",Nestor A. Valero,Corpochivor,Environmental authorities,National,Public,2007,2007,No,Implementation,NI,NI,NI,Assisted restoration,"Tree planting, perimeter isolation, live fences, revegetation nuclei, invasive species control",Tree planting,perimeter isolation,live fences,revegetation nuclei,invasive species control,Agricultural and livestock use,Deforestation,NA,NA,NA,NI,Recovery and conservation of natural resources,245,NI,BOYACA,15,"VENTAQUEMADA, GARAGOA",15861.15299,BOYACA_VENTAQUEMADA,BOYACA,VENTAQUEMADA,macizos hidrogeográficos de Rabanal y Mamapacha,Norandina,High Andean forest,INFORME DE GESTIÃ“N 140311.pdf (corpochivor.gov.co),NA,NA,-,Duplicated rows per municipality,NA,5.2811,-73.2912
RE00102,a,"Revegetalización de 245 hectáreas y aislamiento con 40 000 m.l. de cerca, en los macizos hidrogeográficos de Rabanal y Mamapacha en áreas compartidas entre Corpochivor y Corpoboyacá",Nestor A. Valero,Corpochivor,Environmental authorities,National,Public,2007,2007,No,Implementation,NI,NI,NI,Assisted restoration,"Tree planting, perimeter isolation, live fences, revegetation nuclei, invasive species control",Tree planting,perimeter isolation,live fences,revegetation nuclei,invasive species control,Agricultural and livestock use,Agricultural and livestock use,NA,NA,NA,NI,Recovery and conservation of natural resources,245,NI,BOYACA,15,"VENTAQUEMADA, GARAGOA",15861.15299,BOYACA_GARAGOA,BOYACA,GARAGOA,macizos hidrogeográficos de Rabanal y Mamapacha,Norandina,High Andean forest,INFORME DE GESTIÃ“N 140311.pdf (corpochivor.gov.co),NA,NA,-,Duplicated rows per municipality,NA,5.2811,-73.2912
RE00103,a,"Restauración ecológica de la zona de ribera del río La Miel (departamento de Caldas, Colombia)",Huber Vanegas,ISAGEN,Company,National,Private,2008,2008,No,Implementation,NI,NI,Mosaic of pastures and crops,Assisted restoration,"Tree planting, perimeter isolation, live fences, revegetation nuclei, invasive species control",Tree planting,perimeter isolation,live fences,revegetation nuclei,invasive species control,Civil works and infrastructure,Agricultural and livestock use,NA,NA,NA,NI,Hydrological restoration,150,NI,Caldas,17,NORCASIA,17495,CALDAS_NORCASIA,CALDAS,NORCASIA,Río la Miel,Norandina,Tropical rain forest,NA,NA,NA,-,NA,NA,NA,NA
RE00104,a,Implementación del componente de restauración del plan de manejo de la reserva forestal protectora Río Blanco,Johny Albeiro Arias Ortegón,Corpocaldas,Environmental authorities,National,Public,NI,NI,No,NI,NI,NI,NI,NI,NI,NI,NA,NA,NA,NA,NI,Civil works and infrastructure,NA,NA,NA,NI,NI,NI,NI,CALDAS,17,NO CHECKED,#N/A,NA,NA,NA,NI,Norandina,NI,NA,NA,Fundación pangea,-,No link to further information?,NA,NA,NA
RE00105,a,"Construcción de la línea de protección ribereña a la red hídrica de la cuenca hidrográfica del río Garagoa. Unidad de trabajo quebrada la Cuya y la Guaya, en los municipios de Almeida, La Capilla, Somondoco, Sutatenza y Tenza",Néstor A. Valero,Corpochivor,Environmental authorities,National,Public,2007,2007,No,Implementation,NI,NI,NI,Natural regeneration,Perimeter isolation and conservation areas,Perimeter isolation,conservation areas,NA,NA,NA,Civil works and infrastructure,NI,NA,NA,NA,NI,Water resource protection,650,NI,BOYACA,15,"Almeida, La Capilla, Somondoco, Sutatenza y Tenza","15022,15380,15761,15778, 15798",BOYACA_ALMEIDA,BOYACA,ALMEIDA,Quebrada la Cuya y la Guaya,Norandina,Andean forest,NA,NA,NA,-,Duplicated rows per municipality,NA,5.0872,-73.4319
RE00105,a,"Construcción de la línea de protección ribereña a la red hídrica de la cuenca hidrográfica del río Garagoa. Unidad de trabajo quebrada la Cuya y la Guaya, en los municipios de Almeida, La Capilla, Somondoco, Sutatenza y Tenza",Néstor A. Valero,Corpochivor,Environmental authorities,National,Public,2007,2007,No,Implementation,NI,NI,NI,Natural regeneration,Perimeter isolation and conservation areas,Perimeter isolation,conservation areas,NA,NA,NA,Civil works and infrastructure,Civil works and infrastructure,NA,NA,NA,NI,Water resource protection,650,NI,BOYACA,15,"Almeida, La Capilla, Somondoco, Sutatenza y Tenza","15022,15380,15761,15778, 15798",BOYACA_LA CAPILLA,BOYACA,LA CAPILLA,Quebrada la Cuya y la Guaya,Norandina,Andean forest,NA,NA,NA,-,Duplicated rows per municipality,NA,5.0872,-73.4319
RE00105,a,"Construcción de la línea de protección ribereña a la red hídrica de la cuenca hidrográfica del río Garagoa. Unidad de trabajo quebrada la Cuya y la Guaya, en los municipios de Almeida, La Capilla, Somondoco, Sutatenza y Tenza",Néstor A. Valero,Corpochivor,Environmental authorities,National,Public,2007,2007,No,Implementation,NI,NI,NI,Natural regeneration,Perimeter isolation and conservation areas,Perimeter isolation,conservation areas,NA,NA,NA,Civil works and infrastructure,Civil works and infrastructure,NA,NA,NA,NI,Water resource protection,650,NI,BOYACA,15,"Almeida, La Capilla, Somondoco, Sutatenza y Tenza","15022,15380,15761,15778, 15798",BOYACA_SOMONDOCO,BOYACA,SOMONDOCO,Quebrada la Cuya y la Guaya,Norandina,Andean forest,NA,NA,NA,-,Duplicated rows per municipality,NA,5.0872,-73.4319
RE00105,a,"Construcción de la línea de protección ribereña a la red hídrica de la cuenca hidrográfica del río Garagoa. Unidad de trabajo quebrada la Cuya y la Guaya, en los municipios de Almeida, La Capilla, Somondoco, Sutatenza y Tenza",Néstor A. Valero,Corpochivor,Environmental authorities,National,Public,2007,2007,No,Implementation,NI,NI,NI,Natural regeneration,Perimeter isolation and conservation areas,Perimeter isolation,conservation areas,NA,NA,NA,Civil works and infrastructure,Civil works and infrastructure,NA,NA,NA,NI,Water resource protection,650,NI,BOYACA,15,"Almeida, La Capilla, Somondoco, Sutatenza y Tenza","15022,15380,15761,15778, 15798",BOYACA_SUTATENZA,BOYACA,SUTATENZA,Quebrada la Cuya y la Guaya,Norandina,Andean forest,NA,NA,NA,-,Duplicated rows per municipality,NA,5.0872,-73.4319
RE00105,a,"Construcción de la línea de protección ribereña a la red hídrica de la cuenca hidrográfica del río Garagoa. Unidad de trabajo quebrada la Cuya y la Guaya, en los municipios de Almeida, La Capilla, Somondoco, Sutatenza y Tenza",Néstor A. Valero,Corpochivor,Environmental authorities,National,Public,2007,2007,No,Implementation,NI,NI,NI,Natural regeneration,Perimeter isolation and conservation areas,Perimeter isolation,conservation areas,NA,NA,NA,Civil works and infrastructure,Civil works and infrastructure,NA,NA,NA,NI,Water resource protection,650,NI,BOYACA,15,"Almeida, La Capilla, Somondoco, Sutatenza y Tenza","15022,15380,15761,15778, 15798",BOYACA_TENZA,BOYACA,TENZA,Quebrada la Cuya y la Guaya,Norandina,Andean forest,NA,NA,NA,-,Duplicated rows per municipality,NA,5.0872,-73.4319
RE00106,a,"Restauración de pastizales, especies sobreexplotadas y la protección de nacederos en la Reserva Natural Hacienda Sabaneta -Direct TV",Alfredo Navas,Caraipa Vivero,Company,National,Private,NI,NI,No,Implementation,NI,NI,NI,Assisted restoration,Tree planting,Tree planting,NA,NA,NA,NA,NI,Civil works and infrastructure,NA,NA,NA,NI,Water resource protection,0.7,NI,CUNDINAMARCA,25,GRANADA,25312,CUNDINAMARCA_GRANADA,CUNDINAMARCA,GRANADA,Reserva Natural Hacienda Sabaneta,Norandina,High Andean forest,https://sites.google.com/site/caraipavivero/catalogo-1,NA,NA,-,Consider combining - not clear if separate sites or not,NA,4.9069,-74.5058
RE00107,a,"Restauración de pastizales, especies sobreexplotadas y la protección de nacederos en la Reserva Natural Hacienda Sabaneta -HP",Alfredo Navas,Caraipa Vivero,Company,National,Private,NI,2011,No,Implementation,NI,NI,NI,Assisted restoration,Tree planting,Tree planting,NA,NA,NA,NA,NI,NI,NA,NA,NA,NI,Water resource protection,0.4,NI,CUNDINAMARCA,25,GRANADA,25312,CUNDINAMARCA_GRANADA,CUNDINAMARCA,GRANADA,Reserva Natural Hacienda Sabaneta,Norandina,High Andean forest,https://sites.google.com/site/caraipavivero/catalogo-1,NA,NA,-,Consider combining - not clear if separate sites or not,NA,4.9069,-74.5058
RE00108,a,"Restauración ecológica en zonas de plantaciones forestales de exóticas, Predio San Dionisio, localidad Santa Fe",Claudia Alexandra Pinzón,JBB,Botanic garden,National,Public,2011,2008,No,Implementation,NI,NI,NI,Assisted restoration,Revegetation nuclei,Revegetation nuclei,NA,NA,NA,NA,Forest plantations,NI,NA,NA,NA,NI,Recovery and conservation of natural resources,34.59,NI,CUNDINAMARCA,25,"BOGOTÁ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Predio San Dionisio de la EAAB,Norandina,High Andean forest,NA,NA,NA,-,NA,NA,NA,NA
RE00109,a,Recuperación ecológica en el parque del barrio San Rafael sur,Claudia Alexandra Pinzón,JBB,Botanic garden,National,Public,2011,2008,No,Implementation,NI,NI,NI,Assisted restoration,Tree planting,Tree planting,NA,NA,NA,NA,Invasive species,Forest plantations,NA,NA,NA,NI,Recovery and conservation of natural resources,1,NI,CUNDINAMARCA,25,"BOGOTÁ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Barrio San Rafael Sur,Norandina,High Andean forest,NA,NA,NA,-,NA,NA,NA,NA
RE00110,a,Ronda de la quebrada Santa Librada,Claudia Alexandra Pinzón,JBB,Botanic garden,National,Public,2012,2009,No,Implementation,NI,NI,NI,Assisted restoration,Plant enrichment,Plant enrichment,NA,NA,NA,NA,Deforestation,Invasive species,NA,NA,NA,NI,Water resource protection,4,NI,CUNDINAMARCA,25,"BOGOTÃ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Quebrada Santa Librada,Norandina,High Andean forest,NA,NA,NA,-,NA,NA,4.519461,-74.114331
RE00111,a,Restauración ecológica de Afloramiento rocoso de la serranía de La Lindosa (Guaviare),Dairon Cárdenas,Instituto SINCHI,Research institute,National,Public,NI,NI,No,Implementation,NI,NI,NI,NI,NI,NI,NA,NA,NA,NA,Deforestation,Deforestation,NA,NA,NA,NI,NI,1200,NI,Guaviare,95,San JosÃ© del Guaviare,95001,GUAVIARE_SAN JOSE DEL GUAVIARE,GUAVIARE,SAN JOSE DEL GUAVIARE,Serranía de La Lindosa,Guyana Province,Tropical rain forest,NA,NA,Preguntarle a Carolina,-,NA,NA,2.5,-72.6667
RE00112,a,Restauración de áreas con importancia para la conectividad ecológica en la localidad de Suba,Claudia Alexandra Pinzón,JBB,Botanic garden,International,Public,2015,2014,No,Implementation,NI,NI,NI,Assisted restoration,Revegetation nuclei,Revegetation nuclei,NA,NA,NA,NA,Agricultural and livestock use,Deforestation,NA,NA,NA,NI,Ecological connectivity,28,NI,CUNDINAMARCA,25,"BOGOTÁ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.","Bosque las mercedes, humedal la conejera",Norandina,Andean forest,NA,NA,NA,-,NA,NA,NA,NA
RE00113,a,Reforestación sub-cuenca Totuí,"Epifanio Marín 
Ríos",Carder,Environmental authorities,National,Public,2012,NI,No,NI,NI,NI,NI,NI,NI,NI,NA,NA,NA,NA,NI,Agricultural and livestock use,NA,NA,NA,NI,NI,4,NI,Risaralda,66,Santuario,66687,RISARALDA_SANTUARIO,RISARALDA,SANTUARIO,Río Totui,Norandina,NI,NA,NA,NA,-,NA,NA,4.9907,-75.954
RE00114,a,Caracterización ecológica participativa para la restauración y mitigación de amenazas PNN Tamá,Johanna Puentes,PNN,National Natural Park,National,Public,2011,NI,No,Implementation,NI,NI,NI,Natural regeneration and assisted restoration,Tree planting,Tree planting,NA,NA,NA,NA,"Agricultural and livestock use, fires, Invasive species, urban sprawl",NI,NA,NA,NA,NI,Ecological connectivity,40,NI,Norte de santander,54,"Toledo, HerrÃ¡n y ChinÃ¡cota.","54172, 05819, 54347",NORTE DE SANTANDER_TOLEDO,NORTE DE SANTANDER,TOLEDO,Parque Nacional Natural Tamá,Norandina,Several ecosystems,NA,NA,NA,-,Duplicated rows per municipality,NA,7.310278,-72.483056
